song_base,artist_canon,artist_name_has_spanish_char,artist_name_has_spanish_word,title_has_en_vivo,title_has_con_feat,genius_annotation_count,genius_pageviews
blame it on you,jason aldean,0,0,0,0,0.0,8412.0
hats off,"lil baby, lil durk and travis scott",0,0,0,0,,
over the top,smiley featuring drake,0,0,0,0,16.0,306376.0
brainwashed,tom macdonald,0,0,0,0,16.0,18359.0
my life,"j. cole, 21 savage and morray",0,0,0,0,,
wusyaname,"tyler, the creator featuring youngboy never broke again and ty dolla $ign",1,0,0,0,0.0,
favorite crime,olivia rodrigo,0,0,0,0,12.0,1111365.0
outside,mo3 x og bobby billions,0,0,0,0,,
ball if i want to,dababy,0,0,0,0,7.0,72795.0
next girl,carly pearce,0,0,0,0,1.0,6359.0
i like dat,t-pain and kehlani,0,0,0,0,2.0,43540.0
steal my love,dan + shay,0,0,0,0,0.0,14633.0
5500 degrees,"est gee featuring lil baby, 42 dugg and rylo rodriguez",0,0,0,0,,
telepatia,kali uchis,0,0,0,0,4.0,601116.0
my ex's best friend,machine gun kelly x blackbear,0,0,0,0,,
nda,billie eilish,0,0,0,0,14.0,801795.0
epmd 2,nas featuring eminem and epmd,0,0,0,0,,
lose,ksi x lil wayne,0,0,0,0,,
i hope ur miserable until ur dead,nessa barrett,0,0,0,0,11.0,254567.0
not sober,the kid laroi featuring polo g and stunna gambino,0,0,0,0,,
happier,olivia rodrigo,0,0,0,0,7.0,1683619.0
twerkulator,city girls,0,0,0,0,8.0,242423.0
fiel,"los legendarios, wisin and jhay cortez",0,0,0,0,,
rare,nas,0,0,0,0,15.0,75061.0
best friend,saweetie featuring doja cat,0,0,0,0,,
mood,24kgoldn featuring iann dior,0,0,0,0,,
one too many,keith urban duet with p!nk,0,0,0,0,,
getting older,billie eilish,0,0,0,0,9.0,543153.0
billie bossa nova,billie eilish,0,0,0,0,12.0,638910.0
oxytocin,billie eilish,0,0,0,0,8.0,551319.0
i didn't change my number,billie eilish,0,0,0,0,8.0,403672.0
way less sad,ajr,0,0,0,0,15.0,150507.0
lost cause,billie eilish,0,0,0,0,11.0,471312.0
halley's comet,billie eilish,0,0,0,0,9.0,595616.0
my future,billie eilish,0,0,0,0,4.0,1478042.0
build a bitch,bella poarch,0,0,0,0,9.0,1201776.0
from the garden,isaiah rashad featuring lil uzi vert,0,0,0,0,17.0,93464.0
working,tate mcrae x khalid,0,0,0,0,,
wants and needs,drake featuring lil baby,0,0,0,0,3.0,
settling down,miranda lambert,0,0,0,0,0.0,20413.0
gone,dierks bentley,0,0,0,0,0.0,11601.0
red light green light,dababy,0,0,0,0,16.0,66351.0
better believe,"belly, the weeknd and young thug",0,0,0,0,,
lick back,est gee,0,0,0,0,13.0,63700.0
ski,young thug and gunna,0,0,0,0,,
minimum wage,blake shelton,0,0,0,0,1.0,48481.0
still chose you,the kid laroi featuring mustard,0,0,0,0,5.0,156843.0
drivers license,olivia rodrigo,0,0,0,0,17.0,4657452.0
tell the vision,pop smoke featuring kanye west and pusha t,0,0,0,0,,
pov,ariana grande,0,0,0,0,17.0,1636571.0
bout a million,pop smoke featuring 21 savage and 42 dugg,0,0,0,0,13.0,130663.0
mr jones,pop smoke featuring future,0,0,0,0,7.0,100470.0
more time,pop smoke,0,0,0,0,17.0,95975.0
manslaughter,pop smoke featuring rick ross and the-dream,0,0,0,0,,
demeanor,pop smoke featuring dua lipa,0,0,0,0,,
transparentsoul,willow featuring travis barker,0,0,0,0,,
am i the only one,aaron lewis,0,0,0,0,13.0,147940.0
30,pop smoke featuring bizzy banks,0,0,0,0,0.0,
jealousy jealousy,olivia rodrigo,0,0,0,0,8.0,1032232.0
calling my phone,lil tjay featuring 6lack,0,0,0,0,,
breaking up was easy in the 90's,sam hunt,0,0,0,0,1.0,23663.0
the jackie,bas with j. cole and lil tjay,0,0,0,0,,
follow you,imagine dragons,0,0,0,0,2.0,218358.0
volando,"mora, bad bunny and sech",0,0,0,0,,
4 da gang,42 dugg and roddy ricch,0,0,0,0,40.0,142479.0
de museo,bad bunny,0,0,0,0,7.0,177745.0
wasting time,brent faiyaz featuring drake,0,0,0,0,,
all i know so far,p!nk,0,0,0,0,2.0,92350.0
levitating,dua lipa featuring dababy,0,0,0,0,,
track star,mooski,0,0,0,0,2.0,299023.0
